IP,Hostname,Anti-clickjacking,X-XSS-Protection,No CGI Directories found,valid response with junk HTTP,Allowed HTTP Methods,which may suggest a WAF,shellshock,OSVDB-637,OSVDB-578
199.59.242.153,www.assurance-tanger.com,1,1,1,0,0,0,0,1,0
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
192.185.114.41,www.andrescabanilla.com,1,1,1,0,1,0,0,0,0
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
136.243.19.58,www.hebroninvestment.com,1,1,1,0,1,0,0,0,0
3.24.21.222,personalportfolio.com.au,1,1,0,0,0,0,0,0,0
217.160.0.29,my-sonar.fr,1,1,0,0,0,1,0,0,0
111.68.119.154,support-paypal.com.tekywidjaja.com,1,1,1,0,1,0,0,0,0
192.185.111.137,thebeautyxperience.com,1,1,1,0,0,0,0,0,0
192.254.233.201,www.tvanetworks.com,1,1,1,0,0,0,0,0,0
54.37.222.51,realestatelawyersinbangalore.com,1,1,0,0,0,1,0,0,0
217.160.0.222,art-sticker.fr,1,1,1,0,1,1,0,0,0
192.185.144.188,eggheadhosting.net,1,1,1,0,1,0,0,0,0
143.95.226.60,www.glamoursmoking.com,1,1,0,0,0,0,0,0,0
54.239.33.61,audible.co.uk,1,1,1,0,0,0,0,0,0
212.239.19.8,www.delboconsorzio.it,1,1,1,0,1,0,0,0,0
104.245.113.114,mail.mairie-lelamentin.fr,1,1,1,0,1,0,0,0,0
190.110.123.241,solovinilos.cl,1,1,0,0,0,0,0,0,0
54.39.133.15,www.dialyourmeal.com.au,1,1,1,0,0,0,0,0,0
163.172.54.222,www.recensionivideogiochi.it,1,1,1,0,0,0,0,0,0
54.39.133.15,dialyourmeal.com.au,1,1,1,0,0,0,0,0,0
54.39.133.15,dialyourmeal.com.au,1,1,1,0,0,0,0,0,0
5.188.28.172,famdent.ru,1,1,1,0,0,0,0,0,0
104.156.60.32,www.faraohfogos.com.br,1,1,0,0,0,0,0,0,0
67.205.103.90,www.confid.com.br,1,1,1,0,0,0,0,0,0
37.186.130.238,mail.brennercom.net,1,1,1,0,0,0,0,0,0
67.205.103.90,www.confid.com.br,1,1,1,0,0,0,0,0,0
149.202.75.212,37online-04032019.7m.pl,1,1,1,0,0,0,0,0,0
45.60.24.108,www.insurance-advocate.com,1,1,0,0,0,0,0,0,0
45.60.24.108,www.insurance-advocate.com,1,1,0,0,0,0,0,0,0
45.60.24.108,www.insurance-advocate.com,1,1,0,0,0,0,0,0,0
103.13.242.99,vkcnuts.com,1,1,1,0,0,0,0,0,0
3.24.21.222,mail.personalportfolio.com.au,1,1,0,0,0,0,0,0,0
3.24.21.222,mail.personalportfolio.com.au,1,1,0,0,0,0,0,0,0
50.87.147.16,fundacionmerand.org,1,1,0,0,0,0,0,0,0
50.87.147.16,fundacionmerand.org,1,1,0,0,0,0,0,0,0
103.241.146.74,vps.nichetech.co,1,1,1,0,0,0,0,0,0
103.241.146.74,vps.nichetech.co,1,1,1,0,0,0,0,0,0
103.241.146.74,vps.nichetech.co,1,1,1,0,0,0,0,0,0
103.241.146.74,vps.nichetech.co,1,1,1,0,0,0,0,0,0
190.98.231.126,www.vivirpropiedades.cl,1,1,1,0,0,0,0,0,0
103.241.146.74,103.241.146.74,1,1,1,0,0,0,0,0,0
103.241.146.74,103.241.146.74,1,1,1,0,0,0,0,0,0
103.241.146.74,vps.nichetech.co,1,1,1,0,0,0,0,0,0
103.241.146.74,103.241.146.74,1,1,1,0,0,0,0,0,0
103.241.146.74,103.241.146.74,1,1,1,0,0,0,0,0,0
46.30.40.98,vds-23.ru,1,1,1,1,0,0,0,0,0
3.24.21.222,www.personalportfolio.com.au,1,1,0,0,0,0,0,0,0
3.18.65.24,www.persianvisa.com,1,1,1,0,0,1,0,0,0
3.18.65.24,www.persianvisa.com,1,1,1,0,0,1,0,0,0
208.91.197.27,000o2ba.wcomhost.com,1,1,1,0,0,0,0,0,0
74.220.199.14,www.carpetcleaning-a.com,1,1,1,1,0,0,0,0,0
45.14.148.151,www.diycarbonwheels.com,1,1,1,0,0,0,0,0,0
130.211.22.95,outlookweb3server.creatorlink.net,1,1,1,1,0,0,0,0,0
3.24.21.222,mail.personalportfolio.com.au,1,1,0,0,0,0,0,0,0
3.24.21.222,mail.personalportfolio.com.au,1,1,0,0,0,0,0,0,0
34.102.136.180,thebrimattgroup.com,1,1,1,0,0,0,0,0,0
50.87.249.11,4babysleep.com,1,1,1,0,1,0,0,0,0
85.187.128.36,shakawaaye.com,0,1,1,1,0,0,0,1,1
85.187.128.36,shakawaaye.com,0,1,1,1,0,0,0,1,1
85.187.128.36,shakawaaye.com,0,1,1,1,0,0,0,1,1
85.187.128.36,shakawaaye.com,0,1,1,1,0,0,0,1,1
3.6.22.22,mwazalwardspl.com,1,1,1,0,0,0,0,0,0
139.59.80.6,139.59.80.6,1,1,1,0,0,0,0,0,0
139.59.80.6,139.59.80.6,1,1,1,0,0,0,0,0,0
45.126.59.196,s.id,1,1,1,0,1,0,0,0,0
50.31.188.104,www.grupobuitrago.ec,1,1,0,0,0,0,0,0,0
50.31.188.104,www.grupobuitrago.ec,1,1,0,0,0,0,0,0,0
43.225.52.219,dotospregistration.in,1,1,1,0,0,0,0,0,0
173.254.55.56,www.jacarandacc.com.au,1,1,1,0,1,1,0,0,0
77.240.19.27,www.suunnistus.net,1,1,1,0,1,0,0,0,0
50.31.188.104,www.grupobuitrago.ec,1,1,0,0,0,0,0,0,0
198.27.113.96,netcity.cl,1,1,0,0,0,0,0,0,0
173.254.51.102,doradecora.com,1,1,1,0,0,0,0,0,0
196.41.32.123,reliancegroup.co.tz,1,1,1,0,0,0,0,0,0
66.7.220.3,bebeton.ec,1,1,1,0,1,0,0,0,0
102.177.158.224,bokgabanesolutions.co.za,1,1,1,1,1,0,0,0,0
94.229.72.120,www.cryptoeu.co,1,1,0,0,0,0,0,0,0
185.51.8.60,www.turmhof.at,0,0,0,0,0,0,0,0,0
51.255.64.77,cabanasdequebracho.com,1,1,1,0,0,0,0,0,0
103.229.73.115,www.studiosup.com,1,1,0,0,0,1,0,0,0
172.104.33.209,www.olbistradecivilmine.com.au,1,1,0,0,0,0,0,0,0
3.24.102.178,huntervalleyweddingdj.com.au,1,1,0,0,0,0,0,0,0
195.110.128.28,mail2.mclink.it,1,1,1,0,0,0,0,0,0
85.10.213.180,www.freiewelt.net,1,1,1,0,0,0,0,0,0
34.102.136.180,www.runwithsolar.marketing,1,1,1,0,0,0,0,0,0
196.41.127.42,mail.homeservices.cybersecure.co.za,1,1,0,0,0,0,0,0,0
200.35.158.15,www.administracionganadera.cl,1,1,0,0,0,1,0,0,0
196.41.127.42,homeservices.cybersecure.co.za,1,1,0,0,0,0,0,0,0
34.102.136.180,www.runwithsolar.marketing,1,1,1,0,0,0,0,0,0
85.187.128.36,shakawaaye.com,0,1,1,1,0,0,0,1,1
99.86.212.82,so58w.app.link,1,1,1,0,0,1,0,0,0
209.99.40.222,paradiseinnovators.com,1,1,1,0,0,0,0,1,1
74.220.199.6,arkkology.com,1,1,1,1,0,0,0,0,0
5.57.226.202,anmericanboa.webcindario.com,1,1,1,0,0,0,0,0,0
209.99.40.222,mail.paradiseinnovators.com,1,1,1,0,0,0,0,0,1
185.165.123.36,a-modul.com,0,1,1,0,0,0,0,0,0
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
5.57.226.202,anmericanboa.webcindario.com,1,1,1,0,0,0,0,0,0
5.57.226.202,anmericanboa.webcindario.com,1,1,1,0,0,0,0,0,0
5.57.226.202,boaofsafe.webcindario.com,1,1,1,0,0,0,0,0,0
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
52.70.49.73,bebrasindia.org,0,1,1,0,0,1,0,0,0
66.235.200.146,www.sadaonline.org,0,1,0,0,0,0,0,0,0
52.70.49.73,bebrasindia.org,0,1,1,0,0,1,0,0,0
52.70.49.73,bebrasindia.org,0,1,1,0,0,1,0,0,0
109.95.211.185,mail.espley.ru,1,1,1,0,0,0,0,0,0
172.67.128.26,zgcollege.org,0,1,0,0,0,0,0,0,0
192.185.16.50,www.glenwoodgolf.com,1,1,1,0,0,0,0,0,0
196.41.127.42,www.homeservices.cybersecure.co.za,1,1,0,0,0,0,0,0,0
109.95.211.185,mail.espley.ru,0,1,1,0,1,0,0,0,0
45.126.133.106,www.dunggiodrilling.com,1,1,1,1,0,0,0,1,1
47.52.157.224,triangletire.com,1,1,1,1,1,0,0,0,0
113.11.255.21,ducitlet.com,1,1,0,0,0,1,0,0,0
104.16.163.215,www.dun-mesande.yolasite.com,1,1,1,0,0,0,0,0,0
213.186.33.24,cluster013.hosting.ovh.net,1,1,1,0,1,1,0,1,0
70.40.214.122,aicas2.com,1,1,1,1,0,1,0,0,0
70.40.214.122,aicas2.com,1,1,1,1,0,1,0,0,0
91.195.240.13,discountfinder.info,1,1,1,0,0,0,0,1,1
103.224.212.221,www.secure1-chase.com,1,1,1,0,0,0,0,0,0
157.245.113.153,tiny.cc,0,1,1,0,0,0,0,0,0
206.221.182.74,modabook.in,1,1,1,0,0,0,0,0,0
206.221.182.74,modabook.in,1,1,1,0,0,0,0,0,0
206.221.182.74,modabook.in,1,1,1,0,0,0,0,0,0
208.67.20.63,overstockmiami.com,1,1,1,0,0,0,0,0,0
64.91.229.24,www.cerebrostudio.com,1,1,0,0,0,0,0,0,0
83.103.197.176,magicnailsart.ro,0,0,0,0,1,0,0,0,0
192.254.189.232,susandwilliamspc.com,1,1,1,1,1,0,0,0,0
162.144.12.128,aimrescues.org,1,1,1,0,0,0,0,0,0
162.144.12.128,aimrescues.org,1,1,1,0,0,0,0,0,0
160.124.142.152,smart-vision-eg.com,1,1,1,1,0,0,0,0,0
145.14.14.73,www.3dportret.si,1,1,1,0,1,0,0,0,0
145.14.14.73,www.3dportret.si,1,1,1,0,1,0,0,0,0
14.49.39.42,www.hpnabicc.com,1,1,1,0,1,0,0,0,0
5.57.226.202,safe-online-boa.webcindario.com,1,1,1,0,0,0,0,0,0
173.254.54.201,www.image-rx.com,1,1,1,0,0,0,0,0,0
50.87.147.16,www.fundacionmerand.org,1,1,0,0,0,0,0,0,0
50.87.147.16,www.fundacionmerand.org,1,1,0,0,0,0,0,0,0
103.224.182.246,invoice702.online,1,1,1,0,0,0,0,0,0
45.126.133.106,www.dunggiodrilling.com,1,1,1,1,0,0,0,1,1
34.98.99.30,cdsgujde.com,1,1,1,0,0,0,0,0,0
217.160.40.195,www.dsl-informationen.de,1,1,1,0,0,0,0,0,0
23.227.38.65,apple.com.im,1,0,1,0,1,0,0,0,0
192.254.225.134,rhinopropertyservices.ca,1,1,1,0,1,0,0,0,0
192.185.198.12,millwoodoutdoorfurniture.com.au,1,1,1,0,0,0,0,0,0
103.224.182.246,www.invoice702.online,1,1,1,0,0,0,0,0,0
103.224.182.246,www.invoice702.online,1,1,1,0,0,0,0,0,0
103.224.182.246,www.invoice702.online,1,1,1,0,0,0,0,0,0
103.224.182.246,www.invoice702.online,1,1,1,0,0,0,0,0,0
103.224.182.246,www.invoice702.online,1,1,1,0,0,0,0,0,0
192.185.182.113,unifiedcomp.com,1,1,1,0,0,0,0,0,0
177.185.194.160,www.colegioperesguimaraes.com.br,1,1,0,0,0,0,0,0,0
177.185.194.160,www.colegioperesguimaraes.com.br,1,1,0,0,0,0,0,0,0
177.185.194.160,www.colegioperesguimaraes.com.br,1,1,0,0,0,0,0,0,0
103.224.182.246,www.invoice702.online,1,1,1,0,0,0,0,0,0
103.224.182.246,www.invoice702.online,1,1,1,0,0,0,0,0,0
103.224.182.246,www.invoice702.online,1,1,1,0,0,0,0,0,0
103.224.182.246,www.invoice702.online,1,1,1,0,0,0,0,0,0
103.224.182.246,mail.invoice702.online,1,1,1,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
185.2.4.133,mffadvogados.pt,1,1,0,0,0,0,0,0,0
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
,0,0,0,0,0,0,0,0,0
50.116.112.23,www.midiasomeluz.com.br,1,1,1,0,1,0,0,0,0
34.98.99.30,ccn-cloud2.com,1,1,1,0,0,0,0,0,0
34.98.99.30,ccn-cloud2.com,1,1,1,0,0,0,0,0,0
34.98.99.30,ccn-cloud2.com,1,1,1,0,0,0,0,0,0
34.98.99.30,ccn-cloud2.com,1,1,1,0,0,1,0,0,0
34.98.99.30,ccn-cloud2.com,1,1,1,0,0,0,0,0,0
34.98.99.30,ccn-cloud2.com,1,1,1,0,0,0,0,0,0
103.224.182.246,invoid.online,1,1,1,0,0,0,0,0,0
103.224.182.246,invoid.online,1,1,1,0,0,0,0,0,0
34.98.99.30,ccn-cloud2.com,1,1,1,0,0,0,0,0,0
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.183.156.218,www.glanzerrent.at,1,1,1,0,1,0,0,0,0
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
217.65.8.42,site2.20071831.brim.ru,1,1,1,0,0,0,0,0,0
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
216.172.171.98,kc360creditrecovery.com,1,1,1,0,0,0,0,0,0
34.102.136.180,gambardellalaw.com,1,1,1,0,0,0,0,0,0
34.102.136.180,gambardellalaw.com,1,1,1,0,0,0,0,0,0
34.102.136.180,gambardellalaw.com,1,1,1,0,0,0,0,0,0
110.44.112.22,nascoit.org.np,1,1,1,0,0,0,0,0,0
110.44.112.22,nascoit.org.np,1,1,1,0,0,0,0,0,0
110.44.112.22,nascoit.org.np,1,1,1,0,0,0,0,0,0
110.44.112.22,nascoit.org.np,1,1,1,0,0,0,0,0,0
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
67.225.140.68,caterpillargiant.com,1,1,1,0,0,0,0,0,0
200.35.158.15,administracionganadera.cl,1,1,0,0,0,1,0,0,0
103.224.182.246,invoid.online,1,1,1,0,0,0,0,0,0
103.224.182.246,invoid.online,1,1,1,0,0,0,0,0,0
103.224.182.246,invoid.online,1,1,1,0,0,0,0,0,0
103.224.182.246,invoid.online,1,1,1,0,0,0,0,0,0
103.224.182.246,invoid.online,1,1,1,0,0,0,0,0,0
103.224.182.246,invoid.online,1,1,1,0,0,0,0,0,0
103.224.182.246,invoid.online,1,1,1,0,0,0,0,0,0
34.102.136.180,mach3service.com,1,1,1,0,0,0,0,0,0
103.224.182.246,www.invoid.online,1,1,1,0,0,0,0,0,0
103.224.182.246,www.invoid.online,1,1,1,0,0,0,0,0,0
103.224.182.246,www.invoid.online,1,1,1,0,0,0,0,0,0
103.224.182.246,www.invoid.online,1,1,1,0,0,0,0,0,0
103.224.182.246,www.invoid.online,1,1,1,0,0,0,0,0,0
103.224.182.246,invoid.online,1,1,1,0,0,0,0,0,0
103.224.182.246,invoid.online,1,1,1,0,0,1,0,0,0
103.224.182.246,invoid.online,1,1,1,0,0,0,0,0,0
103.224.182.246,invoid.online,1,1,1,0,0,0,0,0,0
103.224.182.246,invoid.online,1,1,1,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
45.126.133.106,www.dunggiodrilling.com,1,1,1,1,0,1,0,1,1
45.126.133.106,www.dunggiodrilling.com,1,1,1,1,0,1,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
208.91.197.13,thaikaikitchen.com,1,1,1,0,0,0,0,0,0
208.91.197.13,thaikaikitchen.com,1,1,1,0,0,0,0,0,0
172.104.61.77,carpool.ng,1,1,1,1,0,0,0,0,0
172.104.61.77,carpool.ng,1,1,1,1,0,0,0,0,0
172.104.61.77,carpool.ng,1,1,1,1,0,0,0,0,0
172.104.61.77,carpool.ng,1,1,1,1,0,0,0,0,0
172.104.61.77,carpool.ng,1,1,1,1,0,0,0,0,0
172.104.61.77,carpool.ng,1,1,1,1,0,0,0,0,0
192.254.233.104,www.makeitadogday.com,1,1,1,0,0,0,0,0,0
82.94.246.35,www.puurreflex.com,1,1,1,1,0,0,0,0,0
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
34.102.136.180,365secureserver.com,1,1,1,0,0,1,0,0,0
192.232.251.98,yourfitnesscorner.com,1,1,1,0,0,0,0,0,0
192.254.235.43,victoriabushnell.com,1,1,1,0,0,1,0,0,0
103.224.182.246,mail.invoid.online,1,1,1,0,0,0,0,0,0
103.224.182.246,mail.invoid.online,1,1,1,0,0,0,0,0,0
103.224.182.246,mail.invoid.online,1,1,1,0,0,0,0,0,0
103.224.182.246,mail.invoid.online,1,1,1,0,0,0,0,0,0
103.224.182.246,mail.invoid.online,1,1,1,0,0,0,0,0,0
103.224.182.246,invoid.online,1,1,1,0,0,0,0,0,0
103.224.182.246,invoid.online,1,1,1,0,0,0,0,0,0
103.224.182.246,invoid.online,1,1,1,0,0,0,0,0,0
103.224.182.246,invoid.online,1,1,1,0,0,0,0,0,0
103.224.182.246,invoid.online,1,1,1,0,0,0,0,0,0
50.87.144.84,launchyouryear.com,1,1,1,1,0,1,0,1,0
192.185.16.50,glenwoodgolf.com,1,1,1,0,0,1,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
74.220.199.6,uniquelyoked.com,1,1,1,1,0,1,0,0,0
203.161.184.41,modu-system.co.id,1,1,1,0,0,0,0,0,0
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
109.70.1.36,update-palpay.detrein.com,1,1,1,0,0,1,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
185.53.178.13,www.kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,www.kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,www.kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,www.kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,www.kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,www.kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,www.kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,www.kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
193.0.142.47,laguna.ua,1,1,1,0,1,0,0,0,0
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
144.91.115.46,www.chinapowerhub.com,1,1,1,0,0,1,0,0,0
204.11.56.48,theitobjects.com,1,1,1,0,0,0,0,0,0
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
108.167.181.159,purplechristmas.litmus.online,1,1,1,0,1,0,0,0,0
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,1
143.95.42.33,thefutureisnowhere.com,1,1,0,0,0,1,0,0,0
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,0
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,0
185.53.178.13,kingsport3.com,1,1,1,0,0,0,0,1,0
204.11.56.48,theitobjects.com,1,1,1,0,0,0,0,0,0
143.95.42.33,thefutureisnowhere.com,1,1,0,0,0,1,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
